  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1    2    0  100.00 100.00     2      2    2      0      2     1    50.00
   2    4    0  100.00 100.00     5      5    5      0      4     4   100.00
   3   72    0   89.04  90.28    65     73   72      6     72    72   100.00
   4   16    0  100.00 100.00    16     16   16      0     16    16   100.00
   5   25    0  100.00 100.00    30     30   30      0     25    25   100.00
   6   16    0  100.00 100.00    17     17   17      0     16    16   100.00
   7   19    0   68.42  65.00    13     19   20      4     19    17    89.47
   8   39    0   75.86  73.33    22     29   30      7     39    39   100.00
   9   17    0   94.12 100.00    16     17   16      0     17    17   100.00
  10   18    0   86.67  86.67    13     15   15      0     18    18   100.00
  11   51    0   67.35  67.35    33     49   49     12     51    50    98.04
  12   23    0   95.24  95.24    20     21   21      0     23    23   100.00
  13   10    0   80.00  80.00     8     10   10      0     10    10   100.00
  14   27    0  100.00  95.00    19     19   20      0     27    25    92.59
  15   20    0  100.00 100.00    15     15   15      0     20    18    90.00
  16   18    0   85.71  85.71    12     14   14      1     18    18   100.00
  17   27    0  100.00 100.00    27     27   27      0     27    27   100.00
  18   21    0  100.00 100.00    18     18   18      0     21    21   100.00
  19    5    0  100.00 100.00     6      6    6      0      5     5   100.00
  20   27    0   75.00  75.00    18     24   24      4     27    25    92.59
  21   19    0   87.50  82.35    14     16   17      0     19    19   100.00
  22   33    0   92.86  92.86    26     28   28      0     33    33   100.00
  23    7    0  100.00 100.00     7      7    7      0      7     7   100.00
  24   35    0   83.33  86.21    25     30   29      1     35    35   100.00
  25   21    0   70.00  77.78    14     20   18      3     21    21   100.00
  26   16    0   93.33  93.33    14     15   15      1     16    16   100.00
  27    5    0  100.00 100.00     5      5    5      0      5     5   100.00
  28   10    0  100.00 100.00     8      8    8      0     10    10   100.00
  29   16    0  100.00  84.62    11     11   13      0     16    16   100.00
  30   24    0   90.00  90.00    18     20   20      0     24    23    95.83
  31   10    0  100.00 100.00    10     10   10      0     10     9    90.00
  32   11    0  100.00 100.00     9      9    9      0     11    10    90.91
  33   13    0   90.00  90.00     9     10   10      0     13    13   100.00
  34   20    0   88.89  94.12    16     18   17      0     20    20   100.00
  35   15    0  100.00 100.00    13     13   13      0     15    15   100.00
  36   21    0  100.00 100.00    15     15   15      0     21    21   100.00
  37   14    0  100.00 100.00    13     13   13      0     14    14   100.00
  38   19    0   84.21  84.21    16     19   19      2     19    19   100.00
  39    7    0  100.00 100.00     7      7    7      0      7     7   100.00
  40    7    0  100.00 100.00     9      9    9      0      7     7   100.00
  41    6    0  100.00 100.00     8      8    8      0      6     6   100.00
  42   15    0   86.67  81.25    13     15   16      1     15    15   100.00
  43   17    0   90.00  81.82    18     20   22      2     17    17   100.00
  44    9    0   75.00  75.00     6      8    8      1      9     9   100.00
  45   11    0  100.00 100.00     9      9    9      0     11    11   100.00
  46   17    0   76.92  83.33    10     13   12      2     17    16    94.12
  47    6    0  100.00 100.00     8      8    8      0      6     6   100.00
  48   14    0   92.86 100.00    13     14   13      0     14    14   100.00
  49    7    0  100.00 100.00     8      8    8      0      7     7   100.00
  50   22    0  100.00  95.00    19     19   20      0     22    22   100.00
  51   17    0  100.00 100.00    13     13   13      0     17    17   100.00
  52   13    0  100.00  92.31    12     12   13      0     13    13   100.00
  53    8    0  100.00 100.00    10     10   10      0      8     8   100.00
  54   20    0  100.00  90.48    19     19   21      0     20    20   100.00
  55   11    0  100.00 100.00    11     11   11      0     11    11   100.00
  56   19    0   70.00  70.00    14     20   20      3     19    19   100.00
  57   38    0   83.78  83.78    31     37   37      2     38    38   100.00
  58    6    0  100.00 100.00     5      5    5      0      6     6   100.00
  59    3    0  100.00 100.00     3      3    3      0      3     3   100.00
  60   12    0   90.00  81.82     9     10   11      0     12    12   100.00
  61    9    0  100.00 100.00     7      7    7      0      9     9   100.00
  62   20    0   88.24  93.75    15     17   16      1     20    19    95.00
  63   27    0   95.45  95.45    21     22   22      0     27    27   100.00
  64    5    0  100.00 100.00     5      5    5      0      5     5   100.00
  65    9    0  100.00 100.00     8      8    8      0      9     9   100.00
  66   35    0   77.78  77.78    21     27   27      4     35    35   100.00
  67    5    0  100.00 100.00     5      5    5      0      5     4    80.00
  68   10    0  100.00 100.00    14     14   14      0     10    10   100.00
  69   24    0   70.59  57.14    12     17   21      3     24    24   100.00
  70   20    0   66.67  70.59    12     18   17      4     20    20   100.00
  71   26    0   86.36  79.17    19     22   24      3     24    24   100.00
  72   21    0   94.12  88.89    16     17   18      0     19    19   100.00
  73   25    0   85.71  85.71    18     21   21      1     25    24    96.00
  74   42    0   97.30  97.30    36     37   37      0     42    42   100.00
  75   20    0   86.67  81.25    13     15   16      0     20    19    95.00
  76   11    0   87.50  87.50     7      8    8      0     11    11   100.00
  77   13    0  100.00 100.00    11     11   11      0     13    13   100.00
  78   18    0   93.75  88.24    15     16   17      0     16    16   100.00
  79   14    0   62.50  71.43     5      8    7      1     12    12   100.00
  80   12    0  100.00 100.00     9      9    9      0     10     9    90.00
  81   21    0   94.44 100.00    17     18   17      0     21    21   100.00
  82   15    0   84.21  84.21    16     19   19      1     15    15   100.00
  83   16    0   93.75  93.75    15     16   16      0     14    14   100.00
  84   15    0   75.00  75.00     9     12   12      1     13    13   100.00
  85    7    0  100.00 100.00     5      5    5      0      5     5   100.00
  86   15    0  100.00 100.00    11     11   11      0     15    15   100.00
  87   10    0  100.00 100.00     8      8    8      0     10    10   100.00
  88   13    0  100.00 100.00    10     10   10      0     13    12    92.31
  89   15    0   85.71  80.00    12     14   15      1     13    13   100.00
  90   18    0   83.33  83.33    10     12   12      0     16    16   100.00
  91    8    0   85.71 100.00     6      7    6      0      8     8   100.00
  92   29    0   85.71  81.82    18     21   22      2     29    29   100.00
  93   10    0  100.00 100.00    10     10   10      0     10    10   100.00
  94    5    0  100.00 100.00     5      5    5      0      5     5   100.00
  95    8    0  100.00 100.00    12     12   12      0      8     8   100.00
  96   16    0   83.33  93.75    15     18   16      1     16    16   100.00
  97    9    0  100.00 100.00    10     10   10      0      9     9   100.00
  98   19    0  100.00  89.47    17     17   19      0     19    19   100.00
  99   18    0   88.24  88.24    15     17   17      0     18    17    94.44
 100    9    0   85.71 100.00     6      7    6      0      9     9   100.00
 101    7    0   80.00  80.00     4      5    5      0      5     5   100.00
 102   13    0  100.00  92.31    12     12   13      0     12    12   100.00
 103    7    0  100.00 100.00     5      5    5      0      6     6   100.00
 104   14    0   92.86 100.00    13     14   13      0     13    13   100.00
 105    4    0   50.00  50.00     1      2    2      0      3     3   100.00
 106   10    0  100.00 100.00     7      7    7      0     10    10   100.00
 107   10    0   75.00  66.67     6      8    9      1     10    10   100.00
 108    4    0   50.00 100.00     2      4    2      0      3     3   100.00
 109    5    0   20.00  25.00     1      5    4      2      4     4   100.00
 110   12    0  100.00 100.00     9      9    9      0     10     9    90.00
 111   15    0   75.00  64.29     9     12   14      1     13    13   100.00
 112    7    0  100.00 100.00     6      6    6      0      7     7   100.00
 113   33    0  100.00 100.00    24     24   24      0     33    32    96.97
 114   12    0   77.78  87.50     7      9    8      0     12    12   100.00
 115   11    0  100.00  88.89     8      8    9      0      9     9   100.00
 116   11    0   57.14  57.14     4      7    7      0      9     9   100.00
 117    5    0  100.00  66.67     2      2    3      0      3     2    66.67
 118   11    0   44.44  40.00     4      9   10      2      9     9   100.00
 119    6    0   25.00  50.00     1      4    2      0      5     5   100.00
 120    7    0  100.00 100.00     5      5    5      0      6     6   100.00
 121    9    0  100.00 100.00     6      6    6      0      7     7   100.00
 122    9    0  100.00 100.00     8      8    8      0      8     8   100.00
 123    5    0  100.00 100.00     5      5    5      0      5     5   100.00
 124    6    0  100.00 100.00     5      5    5      0      5     5   100.00
 125    5    0  100.00  66.67     2      2    3      0      3     3   100.00
 126   55    0   94.12  94.12    48     51   51      1     55    55   100.00
 127   31    0   86.21  86.21    25     29   29      2     31    31   100.00
 128   19    0   88.24  78.95    15     17   19      2     19    19   100.00
 129   34    0   76.00  73.08    19     25   26      4     34    34   100.00
 130    8    0  100.00 100.00    10     10   10      0      8     8   100.00
 131   25    0  100.00 100.00    22     22   22      0     25    25   100.00
 132   33    0  100.00 100.00    32     32   32      0     33    33   100.00
 133   22    0  100.00 100.00    19     19   19      0     22    22   100.00
 134   18    0  100.00  92.86    13     13   14      0     18    18   100.00
 135   17    0  100.00 100.00    15     15   15      0     17    17   100.00
 136   12    0  100.00 100.00    14     14   14      0     12    12   100.00
 137   24    0   93.33  90.32    28     30   31      0     24    24   100.00
 138   31    0   86.67  86.67    26     30   30      2     31    31   100.00
 139    8    0  100.00 100.00     6      6    6      0      8     8   100.00
 140   23    0  100.00 100.00    20     20   20      0     23    23   100.00
 141   29    0  100.00  92.86    26     26   28      0     29    29   100.00
 142   16    0   94.74  94.74    18     19   19      0     16    16   100.00
 143   13    0  100.00 100.00    11     11   11      0     13    13   100.00
 144   32    0   86.36 100.00    19     22   19      0     32    32   100.00
 145   22    0   77.27  73.91    17     22   23      3     22    22   100.00
 146   29    0   96.43  90.00    27     28   30      0     29    29   100.00
 147   27    0   63.64  63.64    14     22   22      7     27    27   100.00
 148   17    0   80.00  80.00    12     15   15      1     17    17   100.00
 149   32    0   96.55  96.55    28     29   29      1     32    32   100.00
 150   17    0   94.12  88.89    16     17   18      0     17    17   100.00
 151   13    0  100.00 100.00    10     10   10      0     13    13   100.00
 152   14    0   94.12  94.12    16     17   17      0     14    14   100.00
 153   16    0  100.00 100.00    15     15   15      0     16    16   100.00
 154   20    0   85.71  85.71    18     21   21      2     20    20   100.00
 155   20    0   90.91  86.96    20     22   23      0     20    20   100.00
 156   21    0   82.35  87.50    14     17   16      2     21    20    95.24
 157   31    0   87.10  87.10    27     31   31      1     31    31   100.00
 158   13    0   90.91  71.43    10     11   14      0     13    13   100.00
 159   17    0   93.75 100.00    15     16   15      0     17    17   100.00
 160   19    0   88.24  78.95    15     17   19      0     19    19   100.00
 161   21    0   95.45  95.45    21     22   22      0     21    21   100.00
 162   10    0   92.31  92.31    12     13   13      0     10    10   100.00
 163    1    0   33.33  50.00     1      3    2      0      1     0     0.00
 164   15    0   92.31  92.31    12     13   13      0     15    14    93.33
